date,open,high,low,prevclose,close,vwap,volume,ntrades
18-Mar-25,1044.15,1054.25,1033.7,1034.15,1045.25,1042.91,7365940,144396
17-Mar-25,1011.1,1039,1011.1,1010.2,1034.15,1026.93,5938668,176948
13-Mar-25,1015,1016,1005.1,1011.2,1010.2,1010.8,4004140,93202
12-Mar-25,1025.2,1029.8,999.2,1025.65,1011.2,1009.41,7504702,258740
11-Mar-25,1030.4,1036.8,1021.1,1035.85,1025.65,1027.51,4771085,229713
10-Mar-25,1036,1050.5,1032.35,1037.65,1035.85,1041.71,5995655,134845
07-Mar-25,1033.7,1050.35,1030.7,1034.1,1037.65,1038.93,7597321,190760
06-Mar-25,1022.6,1039.5,1015.15,1014.45,1034.1,1030.26,7861120,185457
05-Mar-25,1003,1017.4,1002.55,1001.8,1014.45,1013.22,5133873,97572
04-Mar-25,1001.1,1011.1,998.6,1007.25,1001.8,1002.62,5786420,202534
03-Mar-25,1017.05,1019.4,992,1015.55,1007.25,1004.51,6763184,251708
28-Feb-25,1014.8,1035.5,1009.95,1016.7,1015.55,1019.47,15026849,259384
27-Feb-25,1007.65,1023.55,1005.15,1009.1,1016.7,1017.46,9777690,176924
25-Feb-25,1004,1013.7,997.1,1010.05,1009.1,1006.76,5708975,123245
24-Feb-25,1001.35,1013,998.55,1008.95,1010.05,1006.25,4265454,124743
21-Feb-25,1012,1021.9,1000.65,1017.2,1008.95,1011.16,5019937,107764
20-Feb-25,1008.4,1019.65,1006.5,1011.35,1017.2,1014.84,5011212,128195
19-Feb-25,991.65,1013.45,988.15,994.15,1011.35,1008.65,6401381,136108
18-Feb-25,992.95,997.35,986.55,992.95,994.15,992.83,3090004,93392
